2018-04-30 13:31:14,146  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 9728 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 13:31:14,152 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:31:14,153  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 13:31:51,554  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 14856 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 13:31:51,561 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:31:51,562  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 13:32:51,013  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 7076 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 13:32:51,019 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:32:51,019  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 13:33:14,545  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 12712 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 13:33:14,553 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:33:14,553  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 13:33:31,584  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 22852 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 13:33:31,590 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:33:31,591  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
2018-04-30 13:33:50,001  INFO | Starting SpringBootTestApplication on vitzrobisrnd-PC with PID 18244 (D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject\target\classes started by SMK in D:\_Develope\_Sources\_Github\VitzroProject\VitzroProject) | c.v.SpringBootTestApplication 
2018-04-30 13:33:50,007 DEBUG | Running with Spring Boot v2.0.1.RELEASE, Spring v5.0.5.RELEASE | c.v.SpringBootTestApplication 
2018-04-30 13:33:50,008  INFO | No active profile set, falling back to default profiles: default | c.v.SpringBootTestApplication 
